PairID,GroupID,DB,ID,rec_id,first_name,last_name,dob,sex,race,email,zip_code,state,Rheumatologist_NPI,Rheumatologist_name
1,1,A,1,1000013651,CLARETTA,ADAMS,1944-10-31,F,B,N@GMAIL.COM,77840,TX,9796542356,ADAMS
1,1,A,2,1000013655,CLARETTA,ADAMS,1944-10-31,F,B,O@GMAIL.COM,77840,TX,9796542356,ADAMS
115,2,A,3,1000001972,JEAN EWART,ABERNATHY,1930-08-28,F,W,J@GMAIL.COM,77064,CA,9796542356,GORGE BUSH
115,2,A,4,1000001972,JEAN EWART,ABERNATHY,1930-08-28,F,W,K@GMAIL.COM,77064,CA,9796542356,GORGE BUSH
128,3,A,5,1000000623,LYNN,WILDING,1946-07-05,M,W,C@GMAIL.COM,77843,TX,2188765432,JAMES
128,3,A,6,1000000623,LYNN,WILDING,1946-07-05,M,W,D@GMAIL.COM,77843,TX,9796542356,PAUL
14,4,A,7,1000001971,JEAN EWART,ABERNATHY,1930-08-27,F,W,I@GMAIL.COM,77064,CA,9796542356,GORGE BUSH
14,4,A,8,1000001971,JEAN EWART,ABERNATHY,1930-08-27,M,W,L@GMAIL.COM,77064,CA,9796542356,GORGE BUSH
15,4,A,9,1000001971,JEAN EWART,ABERNATHY,1930-08-27,F,W,I@GMAIL.COM,77064,CA,9796542356,GORGE BUSH
15,4,A,10,1000001976,JEAN EWART,ABERNATHY,1930-08-27,F,B,M@GMAIL.COM,77064,CA,9796542356,GORGE BUSH
21,5,A,11,1000000657,LYNN,WILDING,1946-07-04,M,W,B@GMAIL.COM,77840,TX,2188765432,AMAA
21,5,A,12,1000000657,LYNN,WILDING,1946-07-04,M,W,A@GMAIL.COM,77845,TX,2188765432,AMAB
25,5,A,13,1000000657,LYNN,WILDING,1946-07-04,M,W,B@GMAIL.COM,77840,TX,2188765432,AMAA
25,5,A,14,1000000657,LYNN,WILDING,1946-07-04,F,W,F@GMAIL.COM,77840,NY,2188765432,LYNN I
26,5,A,15,1000000657,LYNN,WILDING,1946-07-04,M,W,B@GMAIL.COM,77840,TX,2188765432,AMAA
26,5,A,16,1000000657,LYNN,WILDING,1946-07-04,M,B,G@GMAIL.COM,77840,NY,9798898889,JEAN EWART
27,5,A,17,1000000657,LYNN,WILDING,1946-07-04,M,W,B@GMAIL.COM,77840,TX,2188765432,AMAA
27,5,A,18,1000000657,LYNN,WILDING,1946-07-04,M,B,H@GMAIL.COM,77840,NY,9798888889,WILDING
4,1,A,19,1000013651,CLARETTA,ADAMS,1944-10-31,F,B,N@GMAIL.COM,77840,TX,9796542356,ADAMS
4,1,A,20,1000013651,CLARETTA,ADAMS,1944-10-31,M,B,R@GMAIL.COM,77064,TX,6636500439,ADAMS
5,1,A,21,1000013651,CLARETTA,ADAMS,1944-10-31,F,B,N@GMAIL.COM,77840,TX,9796542356,ADAMS
5,1,A,22,1000013651,CLARETTA,ADAMS,1944-10-31,F,W,S@GMAIL.COM,77064,TX,6636500439,ADAMS
