PairID,GroupID,DB,ID,rec_id,first_name,last_name,dob,sex,race,email,zip_code,state,Rheumatologist_NPI,Rheumatologist_name
12,1,A,1,1000001971,JEAN EWART,ABERNATHY,1930-08-27,F,W,I@GMAIL.COM,77064,CA,9796542356,GORGE BUSH
12,1,A,2,1000001972,JEAN EWART,ABERNATHY,1930-08-28,F,W,J@GMAIL.COM,77064,CA,9796542356,GORGE BUSH
13,1,A,3,1000001971,JEAN EWART,ABERNATHY,1930-08-27,F,W,I@GMAIL.COM,77064,CA,9796542356,GORGE BUSH
13,1,A,4,1000001972,JEAN EWART,ABERNATHY,1930-08-28,F,W,K@GMAIL.COM,77064,CA,9796542356,GORGE BUSH
2,2,A,5,1000013651,CLARETTA,ADAMS,1944-10-31,F,B,N@GMAIL.COM,77840,TX,9796542356,ADAMS
2,2,A,6,1000013651,CLARETTA,ADAMS,1946-10-31,F,B,P@GMAIL.COM,77840,TX,9796542356,ADAMS
22,3,A,7,1000000657,LYNN,WILDING,1946-07-04,M,W,B@GMAIL.COM,77840,TX,2188765432,AMAA
22,3,A,8,1000000623,LYNN,WILDING,1946-07-05,M,W,C@GMAIL.COM,77843,TX,2188765432,JAMES
23,3,A,9,1000000657,LYNN,WILDING,1946-07-04,M,W,B@GMAIL.COM,77840,TX,2188765432,AMAA
23,3,A,10,1000000623,LYNN,WILDING,1946-07-05,M,W,D@GMAIL.COM,77843,TX,9796542356,PAUL
24,3,A,11,1000000657,LYNN,WILDING,1946-07-04,M,W,B@GMAIL.COM,77840,TX,2188765432,AMAA
24,3,A,12,1000000657,LYNN,WILDING,1946-07-01,M,W,E@GMAIL.COM,77843,NY,9791233445,JEAN EWART
3,2,A,13,1000013651,CLARETTA,ADAMS,1944-10-31,F,B,N@GMAIL.COM,77840,TX,9796542356,ADAMS
3,2,A,14,1000013651,CLARETTA,ADAMS,1945-10-31,F,B,Q@GMAIL.COM,77840,TX,6636500439,ADAMS
